"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality"
"498",10408,8598,"Gertrude Fisch",1,"Lon Duplicator","Second Division","Duplicating & Multigraph Service",1888,1920,11,1,1927,3,14,"Swiss"
"499",10409,8599,"Adèle Fischer",1,"Cleaner","Third Division","Auxiliary Staff",1893,1938,6,1,1938,6,22,"Swiss"
"500",10410,8599,"Adèle Fischer",1,"Cleaner","Third Division","Auxiliary Staff",1893,1938,9,1,1938,9,30,"Swiss"
"501",10412,8601,"William Fish",0,"Proof Corrector","Second Division","Printing & Publishing Department",NA,1923,8,11,1924,1,12,"British"
"502",10416,8603,"Elisabeth Fitzmaurice",1,"Translator","First Division","Translation",NA,1922,8,14,1922,9,9,"British"
"503",10417,8604,"Berthe  Fivaz",1,"Messenger","Second Division","Auxiliary Staff",1921,1945,10,8,1946,7,31,"Swiss"
"504",10418,8605,"Marguerite Fix née Schrein",1,"Multigraph Operator","Second Division","Duplicating & Multigraph Service",1898,1921,5,2,1940,5,17,"French"
"505",10419,8606,"Charles  Flachat",0,"Verbatim Reporter","Second Division","Economic Conference",1879,1927,5,3,1927,5,23,"French"
"506",10420,8606,"Charles  Flachat",0,"Verbatim Reporter","Second Division","Conference on Counterfeiting Currency",1879,1929,4,15,1929,4,20,"French"
"507",10421,8607,"Francisque  Flachat",0,"Verbatim Reporter","Second Division","Conference on Counterfeiting Currency",1901,1929,4,15,1929,4,20,"French"
"508",10422,8608,"Frederick William Flattely",0,"Translator","First Division","Translation",1888,1927,9,1,1927,9,17,"British"
"509",10423,8608,"Frederick William Flattely",0,"Translator","First Division","Translation",1888,1928,9,13,1928,9,23,"British"
"510",10427,8611,"Mabel Irène Fletcher",1,"Copyist","Second Division","Duplicating & Multigraph Service",1913,1937,9,1,1940,2,1,"British"
"511",10428,8612,"Henry Emile Fleury",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1901,1928,8,30,1928,9,26,"French"
"512",10429,8612,"Henry Emile Fleury",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1901,1929,9,2,1929,9,25,"French"
"513",10430,8612,"Henry Emile Fleury",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1901,1930,5,22,1930,5,31,"French"
"514",10431,8612,"Henry Emile Fleury",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1901,1930,9,8,1930,10,5,"French"
"515",10432,8612,"Henry Emile Fleury",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1901,1931,9,10,1931,9,28,"French"
"516",10433,8612,"Henry Emile Fleury",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1901,1936,9,21,1936,10,10,"French"
"517",10434,8612,"Henry Emile Fleury",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1901,1937,9,13,1937,10,6,"French"
"518",10435,8612,"Henry Emile Fleury",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1901,1938,9,12,1939,9,24,"French"
"519",10436,8612,"Henry Emile Fleury",0,"Verbatim Reporter","Second Division","Council Conference",1901,1930,5,8,NA,NA,NA,"French"
"520",10437,8613,"René  Fleuty",0,"Messenger","Second Division","Auxiliary Staff",1923,1946,4,5,1946,4,18,"Swiss"
"521",10438,11427,"Iris Campbell Heap",1,"Secretary Shorthand-Typist","Second Division","Health Section",1891,1924,4,1,1934,6,24,"British"
"522",10440,8616,"Yvonne  Floersheim",1,"Copyist","Second Division","Duplicating & Multigraph Service",1902,1922,7,17,1926,1,31,"French"
"523",10441,8617,"Emile Fluckiger",0,"Gardener","Third Division","Auxiliary Staff",1875,1920,12,1,1927,4,4,"Swiss"
"524",10443,8619,"Emile  Fontaine",0,"Driver","Third Division","Auxiliary Staff",1907,1933,9,25,1933,10,9,"Swiss"
"525",10444,8619,"Emile  Fontaine",0,"Driver","Third Division","Auxiliary Staff",1907,1946,4,1,1946,5,15,"Swiss"
"526",10445,8619,"Emile  Fontaine",0,"Driver","Third Division","Auxiliary Staff",1907,1946,7,15,194,7,31,"Swiss"
"527",10446,8621,"Jeanne Fontana",1,"Messenger","Second Division","Duplicating & Multigraph Service",1906,1926,9,2,NA,NA,NA,"Swiss"
"528",10447,8622,"Georges Fontannaz",0,"Clerk","Second Division","Internal Administration",1902,1927,5,16,1929,2,28,"Swiss"
"529",10448,11427,"Iris Campbell Heap",1,"Unspecified","League of Nations staff","Pool",1891,1934,7,31,1939,5,31,"British"
"530",10449,11638,"Ivy Ellen Castle",1,"Shorthand Typist","Second Division","Pool",1905,1928,4,12,1930,1,4,"British"
"531",10450,8624,"Léon Rodolphe Marius Foresti",0,"Messenger","Second Division","Auxiliary Staff",1899,1923,8,27,1924,3,31,"Swiss"
"532",10451,8624,"Léon Rodolphe Marius Foresti",0,"Cleaner","Third Division","Auxiliary Staff",1899,1925,4,6,1926,12,31,"Swiss"
"533",10452,8624,"Léon Rodolphe Marius Foresti",0,"Cleaner","Third Division","Auxiliary Staff",1899,1927,1,1,NA,NA,NA,"Swiss"
"534",10453,8624,"Léon Rodolphe Marius Foresti",0,"Furnaceman","Third Division","Auxiliary Staff",1899,1935,10,7,1936,2,23,"Swiss"
"535",10454,9235,"Jean Owen Campbell-Davies",1,"Shorthand Typist","Second Division","Information Section",1906,1931,7,5,1940,11,30,"British"
"536",10455,11501,"James William Hickson",0,"Verbatim Reporter","Second Division","Pool",1868,1926,3,7,1926,6,6,"British"
"537",10456,8627,"César Fornerone",0,"Gardener","Third Division","Auxiliary Staff",1913,1938,3,7,1938,5,31,"Swiss"
"538",10457,8628,"Pierette Forney",1,"Sorter","Third Division","Auxiliary Staff",1912,1946,4,8,1946,4,18,"Swiss"
"539",10461,11501,"James William Hickson",0,"Verbatim Reporter","Second Division","Pool",1868,1930,11,6,1930,11,29,"British"
"540",10462,8633,"Renée Fournier",1,"Copyist","Second Division","Duplicating & Multigraph Service",1916,1936,3,24,1937,10,5,"French"
"541",10463,8634,"Francois-René de Foville",0,"Secretary","First Division","Secretary-General's Office",1909,1935,8,12,1939,10,25,"French"
"542",10464,11501,"James William Hickson",0,"Verbatim Reporter","Second Division","Pool",1868,1931,9,7,1931,9,26,"British"
"543",10465,10109,"Jeaffreson Helen Christine",1,"Copyist","Second Division","Pool",1904,1930,4,29,1930,12,9,"British"
"544",10466,8637,"Léon Fragniere",0,"Cyclist","Third Division","Auxiliary Staff",1899,1920,11,1,1924,10,31,"Swiss"
"545",10467,8637,"Léon Fragniere",0,"Office Keeper","Third Division","Internal Administration",1899,1924,11,1,1940,5,17,"Swiss"
"546",10468,9249,"Winifred Marjorie Candelent",1,"Shorthand Typist","Second Division","Stenographic Services",1901,1936,9,21,1936,10,7,"British"
"547",10469,9714,"Katherine Louise Radford",1,"Shorthand Typist","Second Division","London Office",1878,1919,7,24,1921,8,30,"British"
"548",10471,8640,"Angèle Francoz-Chamoz",1,"Telephonist","Third Division","Auxiliary Staff",1901,1927,9,21,1927,9,30,"Swiss"
"549",10472,8640,"Angèle Francoz-Chamoz",1,"Telephonist","Third Division","Auxiliary Staff",1901,1928,9,1,1928,9,26,"Swiss"
"550",10473,8641,"G. E.  Franey",0,"Verbatim Reporter","Second Division","International Financial Conference",NA,1920,9,21,NA,1920,10,"British"
"551",10474,8642,"Raymond Franklin",0,"Précis Writer","First Division","Economic and Financial Section",1896,1928,10,23,1928,10,31,"French"
"552",10475,11123,"Jessie Rose Laurie",1,"Shorthand Typist","Second Division","Pool",1906,1931,1,2,1935,4,30,"British"
"553",10476,9725,"John Albert Kewell",0,"Secretary-Shorthand-Typist","Second Division","Health Section",1905,1930,8,18,1940,7,11,"British"
"554",10477,8644,"Alice Woodall Fraser",1,"Senior Assistant","First Division","Archives",1904,1928,2,20,1929,1929,7,"British"
"555",10478,11582,"John Harby Husband",0,"Translator","First Division","Pool",1900,1923,8,29,1923,9,129,"British"
"556",10479,11582,"John Harby Husband",0,"Translator","First Division","Pool",1900,1924,9,1,1924,10,2,"British"
"557",10480,8646,"Lettie  Frere",1,"Secretary","First Division","Administrative and Minorities Section",NA,1919,7,1,1920,2,17,"British"
"558",10481,8647,"Anna Frick",1,"Cleaner","Third Division","Auxiliary Staff",1891,1926,4,1,1939,2,28,"Swiss"
"559",10482,11397,"John Harding",0,"Précis Writer","First Division","Pool",1904,1926,9,7,1927,5,25,"British"
"560",10483,11397,"John Harding",0,"Précis Writer","First Division","Pool",1904,1927,8,20,1928,1,15,"British"
"561",10484,11397,"John Harding",0,"Précis Writer","First Division","Pool",1904,1928,6,20,1928,7,10,"British"
"562",10485,11729,"Joyce Evelyn Chance",1,"Stenographer","Second Division","General Assemblies Staff",1897,1923,NA,NA,1923,NA,NA,"British"
"563",10486,9714,"Katherine Louise Radford",1,"Shorthand Typist","Second Division","Pool",1878,1921,8,30,1921,10,NA,"British"
"564",10487,9714,"Katherine Louise Radford",1,"Shorthand Typist","Second Division","Pool",1878,1922,8,25,1922,10,NA,"British"
"565",10488,8649,"Paule Friess",1,"Messenger","Second Division","Duplicating & Multigraph Service",1911,1927,9,5,1927,9,27,"French"
"566",10489,8650,"Charles Frigerio",0,"Proof-Reader","Second Division","Printing & Publishing Department",1878,1927,3,1,1927,3,31,"Swiss"
"567",10490,8650,"Charles Frigerio",0,"Proof-Reader","Second Division","Printing & Publishing Department",1878,1929,12,13,1929,12,27,"Swiss"
"568",10491,8650,"Charles Frigerio",0,"Proof-Reader","Second Division","Printing & Publishing Department",1878,1937,7,19,1937,9,18,"Swiss"
"569",10493,8652,"Eileen Mary Frow",1,"Assistant","Second Division","London Office",1906,1930,4,28,1930,7,27,"British"
"570",10494,8652,"Eileen Mary Frow",1,"Assistant","Second Division","London Office",1906,1930,9,10,1930,10,4,"British"
"571",10495,8653,"Jacqueline Frugier",1,"Telephonist","Third Division","Paris Office",1899,1930,6,10,1930,6,10,"French"
"572",10496,8653,"Jacqueline Frugier",1,"Telephonist","Third Division","Paris Office",1899,1931,8,24,1931,8,25,"French"
"573",10497,8653,"Jacqueline Frugier",1,"Telephonist","Third Division","Paris Office",1899,1931,10,20,1931,10,20,"French"
"574",10498,8653,"Jacqueline Frugier",1,"Telephonist","Third Division","Paris Office",1899,1931,11,21,1931,11,21,"French"
"575",10499,8653,"Jacqueline Frugier",1,"Telephonist","Third Division","Paris Office",1899,1932,1,6,1935,2,2,"French"
"576",10500,8653,"Jacqueline Frugier",1,"Telephonist","Third Division","Paris Office",1899,1937,7,5,1937,8,21,"French"
"577",10501,8655,"Louis  Frugier",0,"Concierge","Third Division","Paris Office",1892,1922,11,15,1942,4,15,"French"
"578",10505,8658,"Dudley Fry",0,"Translator","First Division","Translation",1882,1924,8,25,1924,10,18,"British"
"579",10506,8659,"Pierre  Fuchs",0,"Messenger","Second Division","Auxiliary Staff",1911,1936,2,3,1940,2,29,"Swiss"
"580",10507,8661,"Serge  de Morsier",0,"Clerk","Second Division","Information Section",1907,1937,1,16,1937,4,15,"Swiss"
"581",10508,8661,"Serge  de Morsier",0,"Guide for visitors","Third Division","Information Section",1907,1936,6,25,1937,1,15,"Swiss"
"582",10509,8662,"Léon  Stettler ",0,"Guide for visitors","Third Division","Information Section",1895,1937,8,9,1937,9,8,"Swiss"
"583",10510,8666,"Louis Gavard",0,"Clerk","Second Division","Economic and Financial Section",1900,1926,2,18,1930,5,31,"Swiss"
"584",10511,8667,"Constant  Gavillet",0,"Office Keeper","Third Division","Internal Administration",1884,1921,10,31,1934,6,30,"Swiss"
"585",10512,8668,"Guillaume  Fatio",0,"Service staff","Third Division","Auxiliary Staff",NA,NA,NA,NA,NA,NA,NA,"Swiss"
"586",10513,8669,"Ferdinand Gay",0,"Cleaner","Third Division","Auxiliary Staff",1879,1920,10,28,1936,4,20,"Swiss"
"587",10514,8669,"Ferdinand Gay",0,"Office Keeper","Third Division","Auxiliary Staff",1879,1936,4,21,1939,4,2,"Swiss"
"588",10515,8670,"Héléne Gay",1,"Cleaner","Third Division","Auxiliary Staff",1884,1920,10,28,1937,1,5,"Swiss"
"589",10516,8671,"Yvonne Gay",1,"Messenger","Second Division","Duplicating & Multigraph Service",1906,1929,9,11,1929,9,25,"Swiss"
"590",10517,8671,"Yvonne Gay",1,"Messenger","Second Division","Duplicating & Multigraph Service",1906,1930,1,13,1930,1,18,"Swiss"
"591",10518,8671,"Yvonne Gay",1,"Messenger","Second Division","Duplicating & Multigraph Service",1906,1930,5,13,1930,5,17,"Swiss"
"592",10519,8671,"Yvonne Gay",1,"Messenger","Second Division","Duplicating & Multigraph Service",1906,1930,9,10,1930,10,4,"Swiss"
"593",10520,8671,"Yvonne Gay",1,"Messenger","Second Division","Duplicating & Multigraph Service",1906,1930,11,6,1930,12,9,"Swiss"
"594",10521,8671,"Yvonne Gay",1,"Messenger","Second Division","Duplicating & Multigraph Service",1906,1931,1,15,1931,2,1,"Swiss"
"595",10522,8672,"Eugène  Gay des Combes",0,"Cleaner","Third Division","Auxiliary Staff",1887,1932,2,5,1946,7,31,"Swiss"
"596",10523,9714,"Katherine Louise Radford",1,"Shorthand Typist","Second Division","Pool",1878,1923,7,3,1923,12,NA,"British"
"597",10524,9714,"Katherine Louise Radford",1,"Shorthand Typist","Second Division","Pool",1878,1926,8,3,1926,11,30,"British"
"598",10525,11526,"Kathleen Alice Holmes",1,"Shorthand Typist","Second Division","Pool",1897,1920,1,1,1921,NA,NA,"British"
"599",10526,11018,"Kathleen Byass",1,"Shorthand Typist","Second Division","Pool",1898,1926,6,7,1926,7,10,"British"
"600",10527,9730,"Kathleen Ellen Rafferty",1,"Shorthand Typist","Second Division","Pool",1897,1922,2,6,1922,8,18,"British"
"601",10528,8677,"William Adam Geijer",0,"Translator","First Division","Translation",1889,1921,2,10,1921,10,8,"British"
"602",10529,8678,"Jeanne Marguerite Geisser née Brandt",1,"Clerk","Second Division","Publications Service",1905,1929,2,1,1946,10,2,"Swiss"
"603",10533,8680,"Laure  Gendre",1,"Messenger","Second Division","Auxiliary Staff",1893,1924,8,28,NA,NA,NA,"Swiss"
"604",10555,8702,"Francis Genet",0,"Cyclist","Third Division","Auxiliary Staff",NA,1921,8,24,NA,NA,NA,"Swiss"
"605",10556,8703,"Otto Genet",0,"Messenger","Second Division","Auxiliary Staff",1916,1937,1,21,1937,1,27,"Swiss"
"606",10557,9730,"Kathleen Ellen Rafferty",1,"Secretary-Shorthand-Typist","Second Division","Pool",1897,1925,1,1,1928,6,15,"British"
"607",10558,8705,"Rose  Genier",1,"Assistant","Second Division","Library",NA,1921,1,26,NA,NA,NA,"Swiss"
"608",10559,11405,"Kathleen Mary Agnes Harrison",1,"Shorthand Typist","Second Division","Pool",1894,1924,9,1,1926,12,31,"British"
"609",10560,11405,"Kathleen Mary Agnes Harrison",1,"Shorthand Typist","Second Division","Pool",1894,1935,9,9,1935,9,28,"British"
"610",10561,11405,"Kathleen Mary Agnes Harrison",1,"Shorthand Typist","Second Division","Pool",1894,1937,9,20,1937,10,6,"British"
"611",10562,11424,"Kathleen Mary Hayes",1,"Shorthand Typist","Second Division","Pool",1897,1920,11,18,1921,3,1,"British"
"612",10563,11424,"Kathleen Mary Hayes",1,"Stenographer","Second Division","Pool",1897,1921,3,1,1921,4,23,"British"
"613",10564,11530,"Leonard Home",0,"Assistant Registrar","Second Division","Pool",1904,1920,10,6,1920,12,5,"British"
"614",10565,8706,"Adèle  Genoud",1,"House Staff","Third Division","Auxiliary Staff",1880,1927,9,5,1927,9,27,"Swiss"
"615",10566,8706,"Adèle  Genoud",1,"House Staff","Third Division","Auxiliary Staff",1880,1928,9,3,1928,9,26,"Swiss"
"616",10567,8706,"Adèle  Genoud",1,"House Staff","Third Division","Auxiliary Staff",1880,1929,9,2,1929,9,25,"Swiss"
"617",10568,8706,"Adèle  Genoud",1,"House Staff","Third Division","Auxiliary Staff",1880,1930,9,10,1930,10,4,"Swiss"
"618",10569,8706,"Adèle  Genoud",1,"House Staff","Third Division","Auxiliary Staff",1880,1931,9,7,1931,9,29,"Swiss"
"619",10570,8707,"Rodolphe Genoud",0,"Messenger","Second Division","Auxiliary Staff",1877,1920,11,13,1937,6,30,"Swiss"
"620",10571,8707,"Rodolphe Genoud",0,"Messenger","Second Division","Auxiliary Staff",1877,1937,9,9,1937,10,6,"Swiss"
"621",10572,8707,"Rodolphe Genoud",0,"Messenger","Second Division","Auxiliary Staff",1877,1938,1,26,1938,2,2,"Swiss"
"622",10573,8707,"Rodolphe Genoud",0,"Messenger","Second Division","Auxiliary Staff",1877,1938,3,7,1938,3,31,"Swiss"
"623",10574,8707,"Rodolphe Genoud",0,"Messenger","Second Division","Auxiliary Staff",1877,1938,5,9,1938,5,14,"Swiss"
"624",10575,8708,"Louis  Gentil",0,"Messenger","Second Division","Distribution of Documents",1898,1927,8,22,NA,NA,NA,"Swiss"
"625",10576,8708,"Louis  Gentil",0,"Driver","Third Division","Distribution of Documents",1898,1927,9,28,1927,11,9,"Swiss"
"626",10577,8710,"E. Georg",0,"Interpreter","First Division","Translation",NA,1920,9,24,NA,NA,NA,"Swiss"
"627",10578,11552,"Lilian Hooper",1,"Stenographer","Second Division","Pool",NA,1920,2,12,NA,NA,NA,"British"
"628",10579,13403,"Lillie Rhoda Gait",1,"Assistant Head of Office","Second Division","Pool",1884,1920,7,12,1934,8,18,"British"
"629",10580,11257,"Loveday Ann Lewis",1,"Shorthand Typist","Second Division","Pool",1914,1937,11,28,1937,12,11,"British"
"630",10581,11257,"Loveday Ann Lewis",1,"Copyist","Second Division","Pool",1914,1937,11,10,1937,11,28,"British"
"631",10582,11126,"M.A.J. de Lavis-Trafford",0,"Interpreter","First Division","General Assemblies Staff",NA,1920,11,1,1920,12,20,"British"
"632",10583,8712,"Muriel Beatrice George",1,"Stenographer","Second Division","Economic Conference",1897,1927,5,4,1927,5,23,"British"
"633",10584,8713,"Lucien Georgeault",0,"Cyclist","Third Division","Paris Office",1898,1930,1,27,1939,8,25,"French"
"634",10585,8714,"Violette Gerbex née Penéard",1,"Messenger","Second Division","Auxiliary Staff",1908,1927,1,1,1938,6,30,"Swiss"
"635",10590,8716,"Léon Germanet",0,"Secretary","First Division","Translation",NA,1946,4,1,1946,5,10,"French"
"636",10591,8717,"Gottlieb Gersbach",0,"Cleaner","Third Division","Auxiliary Staff",1891,1946,3,12,1946,7,31,"Swiss"
"637",10592,11498,"Mabel Dorothy Hewitt",1,"Statistical Clerk","Second Division","Health Section",1901,1921,9,1,1923,8,31,"British"
"638",10593,8719,"Henry Georges William de Geymuller",0,"Translator","First Division","Translation",1898,1932,11,7,1932,12,12,"French"
"639",10594,8720,"Clovis Geynes",0,"Gardener","Third Division","Auxiliary Staff",1905,1945,4,23,1945,6,6,"Swiss"
"640",10595,8720,"Clovis Geynes",0,"Cleaner","Third Division","Auxiliary Staff",1905,1945,8,6,1946,1,14,"Swiss"
"641",10596,8720,"Clovis Geynes",0,"Cleaner","Third Division","Auxiliary Staff",1905,1946,4,8,1946,7,31,"Swiss"
"642",10612,8722,"Louis Victor Ghisletti",0,"Proof-Reader","Second Division","Printing & Publishing Department",1905,1930,11,3,1935,9,28,"Swiss"
"643",10613,11286,"Margaret Lord",1,"Shorthand Typist","Second Division","Pool",1896,1923,4,23,1929,10,4,"British"
"644",10616,8725,"Karl Sigurd Torsten Gihl",0,"Registrar General","Second Division","Registry",1889,1924,9,8,1926,5,31,"Scandinavian"
"645",10617,8726,"Elsie Primer Gilbert",1,"Copyist","Second Division","Duplicating & Multigraph Service",1904,1925,4,1,1926,1,31,"British"
"646",10618,8727,"William  Giles",0,"Proof-Reader","Second Division","Printing & Publishing Department",NA,1922,10,1,1922,10,5,"British"
"647",10619,8728,"John Guthrie Gill",0,"Shipping Clerk","Third Division","Distribution of Documents",1877,1920,7,1,1921,7,31,"British"
"648",10620,8729,"Louise Dominique Gillet",1,"Précis Writer","First Division","Précis-Writing Department",1905,1927,11,14,1927,11,17,"French"
"649",10621,8729,"Louise Dominique Gillet",1,"Précis Writer","First Division","Précis-Writing Department",1905,1928,3,2,1928,3,10,"French"
"650",10622,8729,"Louise Dominique Gillet",1,"Précis Writer","First Division","Précis-Writing Department",1905,1928,6,4,1928,6,21,"French"
"651",10624,11430,"Margaret Mary Heath",1,"Shorthand Typist","Second Division","Pool",1902,1930,8,20,1937,9,30,"British"
"652",10625,9730,"Kathleen Ellen Rafferty",1,"Shorthand Typist","Second Division","Economic and Financial Section",1897,1922,8,18,1925,1,1,"British"
"653",10626,8732,"Charles Gillieron",0,"Messenger","Second Division","Auxiliary Staff",1909,1931,3,16,1940,1,31,"Swiss"
"654",10629,8734,"Robert Gimpert",0,"Assistant","Second Division","Distribution of Documents",1898,1920,11,12,1923,10,1,"Swiss"
"655",10630,8735,"Alice  Girard",1,"Sorter","Third Division","Duplicating & Multigraph Service",1919,1936,9,21,1936,10,10,"Swiss"
"656",10631,8736,"Claude Girard",0,"Assistant Statistician","Second Division","League of Nations",1925,1946,6,24,1946,8,10,"Swiss"
"657",10632,8737,"Gaston Pierre Girard",0,"Messenger","Second Division","Auxiliary Staff",1925,1946,4,5,1946,4,17,"Swiss"
"658",10633,8738,"Mariette Girod-Poncioni",1,"Messenger","Second Division","Duplicating & Multigraph Service",1897,1922,5,31,NA,NA,NA,"French"
"659",10634,8738,"Mariette Girod-Poncioni",1,"Messenger","Second Division","Duplicating & Multigraph Service",1897,1923,6,29,NA,NA,NA,"French"
"660",10635,8738,"Mariette Girod-Poncioni",1,"Driver","Third Division","Duplicating & Multigraph Service",1897,1932,2,2,1932,10,17,"French"
"661",10636,8739,"Louise Gisiger née Gaste",1,"Copyist","Second Division","Central Opium Board",1893,1929,11,11,NA,1934,9,"Swiss"
"662",10639,8742,"Arne  Giverholt",0,"Assistant","Second Division","Information Section",1882,1925,4,1,1925,9,30,"Scandinavian"
"663",10640,8742,"Arne  Giverholt",0,"Assistant","Second Division","Information Section",1882,1933,2,16,1933,4,5,"Scandinavian"
"664",10641,8742,"Arne  Giverholt",0,"Assistant","Second Division","Information Section",1882,1933,4,26,1933,6,10,"Scandinavian"
"665",10643,11540,"Margaret Rebecca Hoon",1,"Shorthand Typist","Second Division","Pool",1882,1935,9,9,1935,9,28,"British"
"666",10644,11540,"Margaret Rebecca Hoon",1,"Shorthand Typist","Second Division","Pool",1882,1936,6,25,1936,7,6,"British"
"667",10650,8751,"Jeanne Glauser",1,"Messenger","Second Division","Library",1911,1926,5,1,1940,5,17,"Swiss"
"668",10651,9731,"Elizabeth Lindsay King",1,"Shorthand Typist","Second Division","Administrative and Minorities Section",1905,1929,4,17,1929,4,24,"British"
"669",10652,11540,"Margaret Rebecca Hoon",1,"Shorthand Typist","Second Division","Pool",1882,1936,9,21,1936,10,9,"British"
"670",10653,11540,"Margaret Rebecca Hoon",1,"Shorthand Typist","Second Division","Pool",1882,1938,9,12,1938,10,31,"British"
"671",10654,11428,"Marion Heasler",1,"Shorthand Typist","Second Division","Pool",1899,1920,9,20,1920,12,31,"British"
"672",10655,11428,"Marion Heasler",1,"Shorthand Typist","Second Division","Pool",1899,1922,9,1,1922,10,5,"British"
"673",10656,11428,"Marion Heasler",1,"Stenographer","Second Division","Pool",1899,1921,1,1,1921,10,9,"British"
"674",10657,11428,"Marion Heasler",1,"Stenographer","Second Division","Pool",1899,1923,9,10,1924,7,6,"British"
"675",10658,11428,"Marion Heasler",1,"Stenographer","Second Division","Pool",1899,1924,7,7,1926,9,5,"British"
"676",10659,11428,"Marion Heasler",1,"Stenographer","Second Division","Pool",1899,1926,9,6,1930,3,12,"British"
"677",10660,11177,"Mary Elizabeth Legge",1,"Verbatim Reporter","Second Division","Pool",1880,1930,5,22,1930,12,5,"British"
"678",10661,11177,"Mary Elizabeth Legge",1,"Verbatim Reporter","Second Division","Pool",1880,1931,9,1,1931,9,27,"British"
"679",10662,11177,"Mary Elizabeth Legge",1,"Verbatim Reporter","Second Division","Pool",1880,1932,2,2,1932,3,18,"British"
"680",10663,11177,"Mary Elizabeth Legge",1,"Verbatim Reporter","Second Division","Pool",1880,1935,9,12,1935,9,28,"British"
"681",10664,11177,"Mary Elizabeth Legge",1,"Verbatim Reporter","Second Division","Pool",1880,1936,4,20,1936,10,10,"British"
"682",10665,11177,"Mary Elizabeth Legge",1,"Verbatim Reporter","Second Division","Pool",1880,1938,9,12,1938,9,28,"British"
"683",10666,11177,"Mary Elizabeth Legge",1,"Verbatim Reporter","Second Division","Pool",1880,1946,4,6,1946,4,18,"British"
"684",10667,10848,"May Louise Jones",1,"Shorthand Typist","Second Division","Pool",1894,1934,9,13,1934,9,15,"British"
"685",10668,11514,"Mellie Julia Hobbs",1,"Typist","Second Division","Pool",1897,1921,8,13,1921,10,15,"British"
"686",10669,9733,"Muriel Agnes King",1,"Shorthand Typist","Second Division","Pool",1895,1926,9,6,1926,9,26,"British"
"687",10670,9733,"Muriel Agnes King",1,"Shorthand Typist","Second Division","Pool",1895,1926,10,12,1926,11,30,"British"
"688",10671,9733,"Muriel Agnes King",1,"Shorthand Typist","Second Division","Pool",1895,1930,9,10,1930,10,5,"British"
"689",10672,9733,"Muriel Agnes King",1,"Shorthand Typist","Second Division","Pool",1895,1930,11,6,1930,11,30,"British"
"690",10673,9733,"Muriel Agnes King",1,"Shorthand Typist","Second Division","Pool",1895,1931,6,19,1931,6,30,"British"
"691",10674,9733,"Muriel Agnes King",1,"Shorthand Typist","Second Division","Pool",1895,1931,9,7,1931,9,28,"British"
"692",10675,8756,"Romain Jules Godet",0,"Clerk","Second Division","Distribution of Documents",1899,1927,4,1,1927,8,14,"French"
"693",10676,8756,"Romain Jules Godet",0,"Précis Writer","First Division","Précis-Writing Department",1899,1928,4,11,1931,11,16,"French"
"694",10677,8756,"Romain Jules Godet",0,"Translator","First Division","Précis-Writing Department",1899,1931,11,17,1940,1,1,"French"
"695",10678,8756,"Romain Jules Godet",0,"Assistant","Second Division","Internal Control",1899,1922,8,25,1925,5,10,"French"
"696",10679,8756,"Romain Jules Godet",0,"Indexer","Second Division","Registry",1899,1925,5,11,1927,3,31,"French"
"697",10680,8757,"Silvia Jane Godet née Thomas",1,"Senior Assistant","First Division","Registry",1902,1925,3,12,1940,5,17,"French"
"698",10681,8758,"Béatrice  Goerg",1,"Copyholder","Second Division","Printing & Publishing Department",1913,1932,2,2,1932,3,13,"Swiss"
"699",10682,8758,"Béatrice  Goerg",1,"Clerk","Second Division","Social Questions and Opium Traffic Section",1913,1932,3,14,1940,1,31,"Swiss"
"700",10683,8758,"Béatrice  Goerg",1,"Clerk","Second Division","Social Questions and Opium Traffic Section",1913,1945,10,1,1946,8,31,"Swiss"
"701",10684,8759,"Maria Catherine  Goeschmann",1,"Cleaner","Third Division","Auxiliary Staff",1895,1930,9,2,1939,5,31,"Swiss"
"702",10685,8760,"Gottfried Goetz",0,"Cleaner","Third Division","Auxiliary Staff",1895,1946,3,4,1946,7,31,"Swiss"
"703",10686,8761,"Jean-Jacques Goetz",0,"Copyholder","Second Division","Printing & Publishing Department",1915,1933,9,25,1933,10,11,"Swiss"
"704",10687,9733,"Muriel Agnes King",1,"Shorthand Typist","Second Division","Pool",1895,1926,6,25,1926,7,10,"British"
"705",10688,9733,"Muriel Agnes King",1,"Shorthand Typist","Second Division","Pool",1895,1934,9,10,1934,9,27,"British"
"706",10692,8521,"Muriel Dallow",1,"Shorthand Typist","Second Division","Pool",1896,1926,6,7,1926,7,15,"British"
"707",10693,8763,"Alice Golay",1,"Copyist","Second Division","Duplicating & Multigraph Service",1903,1927,9,5,1927,9,27,"Swiss"
"708",10694,11156,"Muriel Irene Lawrence",1,"Copyist","Second Division","Pool",1906,1924,11,4,1924,12,NA,"British"
"709",10695,10373,"Natalie G. D. Bailey",1,"Stenographer","Second Division","Pool",1877,1924,8,24,1924,NA,NA,"British"
